,indicator,classif1,classif2,sex,slope,intercept,r_value,p_value,std_err
0,POP_XWAP_SEX_AGE_NB,AGE_10YRBANDS_TOTAL,0,SEX_T,-33.063065082086084,3.7534182171302577,-0.27862972567006045,1.1811008662720973e-05,7.387180411619033
1,POP_XWAP_SEX_AGE_NB,AGE_10YRBANDS_TOTAL,0,SEX_M,-29.681180256749773,3.5477125733064634,-0.24799339097228817,0.00010331803150590183,7.5157020081269605
2,POP_XWAP_SEX_AGE_NB,AGE_10YRBANDS_TOTAL,0,SEX_F,-35.72841030664148,3.9015711405255935,-0.3038511481863714,1.6141760858816252e-06,7.261551058331623
3,POP_XWAP_SEX_AGE_NB,AGE_10YRBANDS_Y15-24,0,SEX_T,-23.03415219264087,3.1301120470610657,-0.20307215420042105,0.001563815443252441,7.1992742186934455
4,POP_XWAP_SEX_AGE_NB,AGE_10YRBANDS_Y15-24,0,SEX_M,-25.232134821757015,3.320970374594494,-0.234570643779549,0.00024611882838734914,6.778012859313371
5,POP_XWAP_SEX_AGE_NB,AGE_10YRBANDS_Y15-24,0,SEX_F,-19.618701451029782,2.8483047219004316,-0.16505899477160788,0.010427372862453176,7.598789916114166
6,POP_XWAP_SEX_AGE_NB,AGE_10YRBANDS_Y25-34,0,SEX_T,-3.8599001504190342,1.624220948331581,-0.051484854190520755,0.42721726346958144,4.85323979903711
7,POP_XWAP_SEX_AGE_NB,AGE_10YRBANDS_Y25-34,0,SEX_M,-0.4622476049137606,1.3675172675920653,-0.006631548617281532,0.9185977172851247,4.518160801258185
8,POP_XWAP_SEX_AGE_NB,AGE_10YRBANDS_Y25-34,0,SEX_F,-8.04256666564275,1.9377213124289892,-0.1003348591213242,0.12109830006208484,5.1696034238773505
9,POP_XWAP_SEX_AGE_NB,AGE_10YRBANDS_Y35-44,0,SEX_T,-20.603700863278902,2.830227758076132,-0.4760304765636178,5.614993648029812e-15,2.4673040700614535
10,POP_XWAP_SEX_AGE_NB,AGE_10YRBANDS_Y35-44,0,SEX_M,-19.43373786821549,2.7558574077345788,-0.45675396762971504,9.004275386498221e-14,2.453448350392039
11,POP_XWAP_SEX_AGE_NB,AGE_10YRBANDS_Y35-44,0,SEX_F,-21.71244321224186,2.8993258259714834,-0.4942605631551712,3.450130196559911e-16,2.4753740568235276
12,POP_XWAP_SEX_AGE_NB,AGE_10YRBANDS_Y45-54,0,SEX_T,54.93566503416736,-2.4551733428227944,0.5268411637909665,1.5283506031972325e-18,5.744954783275991
13,POP_XWAP_SEX_AGE_NB,AGE_10YRBANDS_Y45-54,0,SEX_M,68.77123793182155,-3.4845229389837105,0.6814278414521834,4.122423179403378e-34,4.7878608054330885
14,POP_XWAP_SEX_AGE_NB,AGE_10YRBANDS_Y45-54,0,SEX_F,35.70544295224352,-1.0919525541702362,0.350592922147148,2.3892015302764795e-08,6.182491757170343
15,POP_XWAP_SEX_AGE_NB,AGE_10YRBANDS_Y55-64,0,SEX_T,36.309750139821475,-1.234176839794588,0.29103655709803744,4.543903556164569e-06,7.736925741925595
16,POP_XWAP_SEX_AGE_NB,AGE_10YRBANDS_Y55-64,0,SEX_M,29.921762778434857,-0.8692043335971207,0.34706541172206556,3.3665788500777966e-08,5.2410287587115905
17,POP_XWAP_SEX_AGE_NB,AGE_10YRBANDS_Y55-64,0,SEX_F,34.275418237683425,-0.9989244735956644,0.1683638004452493,0.008966073320983498,13.007723682192662
18,POP_XWAP_SEX_AGE_NB,AGE_10YRBANDS_YGE65,0,SEX_T,-76.58079249944997,7.037771057264323,-0.6922544636869747,1.423045992396736e-35,5.174809043141218
19,POP_XWAP_SEX_AGE_NB,AGE_10YRBANDS_YGE65,0,SEX_M,-74.31612656364723,7.143085612516642,-0.767323536185317,7.96371000203739e-48,4.025782666234569
20,POP_XWAP_SEX_AGE_NB,AGE_10YRBANDS_YGE65,0,SEX_F,-78.36969323418238,6.952214178467733,-0.6207459725605415,5.837327141973292e-27,6.416058779665097
21,POP_XWAP_SEX_AGE_NB,AGE_AGGREGATE_TOTAL,0,SEX_T,-33.063065082086084,3.7534182171302577,-0.27862972567006045,1.1811008662720973e-05,7.387180411619033
22,POP_XWAP_SEX_AGE_NB,AGE_AGGREGATE_TOTAL,0,SEX_M,-29.681180256749773,3.5477125733064634,-0.24799339097228817,0.00010331803150590183,7.5157020081269605
23,POP_XWAP_SEX_AGE_NB,AGE_AGGREGATE_TOTAL,0,SEX_F,-35.72841030664148,3.9015711405255935,-0.3038511481863714,1.6141760858816252e-06,7.261551058331623
24,POP_XWAP_SEX_AGE_NB,AGE_AGGREGATE_Y15-24,0,SEX_T,-23.03415219264087,3.1301120470610657,-0.20307215420042105,0.001563815443252441,7.1992742186934455
25,POP_XWAP_SEX_AGE_NB,AGE_AGGREGATE_Y15-24,0,SEX_M,-25.232134821757015,3.320970374594494,-0.234570643779549,0.00024611882838734914,6.778012859313371
26,POP_XWAP_SEX_AGE_NB,AGE_AGGREGATE_Y15-24,0,SEX_F,-19.618701451029782,2.8483047219004316,-0.16505899477160788,0.010427372862453176,7.598789916114166
27,POP_XWAP_SEX_AGE_NB,AGE_AGGREGATE_Y25-54,0,SEX_T,-12.437888629886308,2.231338541734086,-0.1717313114909982,0.007666885010106901,4.624963805026546
28,POP_XWAP_SEX_AGE_NB,AGE_AGGREGATE_Y25-54,0,SEX_M,-8.66106771734279,1.9641501267397903,-0.11981802516805763,0.06385318910793995,4.651797066653783
29,POP_XWAP_SEX_AGE_NB,AGE_AGGREGATE_Y25-54,0,SEX_F,-15.927586337596955,2.4732842020200794,-0.220486440468997,0.0005809314720445765,4.567282970158002
30,POP_XWAP_SEX_AGE_NB,AGE_AGGREGATE_Y55-64,0,SEX_T,36.309750139821475,-1.234176839794588,0.29103655709803744,4.543903556164569e-06,7.736925741925595
31,POP_XWAP_SEX_AGE_NB,AGE_AGGREGATE_Y55-64,0,SEX_M,29.921762778434857,-0.8692043335971207,0.34706541172206556,3.3665788500777966e-08,5.2410287587115905
32,POP_XWAP_SEX_AGE_NB,AGE_AGGREGATE_Y55-64,0,SEX_F,34.275418237683425,-0.9989244735956644,0.1683638004452493,0.008966073320983498,13.007723682192662
33,POP_XWAP_SEX_AGE_NB,AGE_AGGREGATE_YGE65,0,SEX_T,-76.58079249944997,7.037771057264323,-0.6922544636869747,1.423045992396736e-35,5.174809043141218
34,POP_XWAP_SEX_AGE_NB,AGE_AGGREGATE_YGE65,0,SEX_M,-74.31612656364723,7.143085612516642,-0.767323536185317,7.96371000203739e-48,4.025782666234569
35,POP_XWAP_SEX_AGE_NB,AGE_AGGREGATE_YGE65,0,SEX_F,-78.36969323418238,6.952214178467733,-0.6207459725605415,5.837327141973292e-27,6.416058779665097
36,POP_XWAP_SEX_AGE_NB,AGE_YTHADULT_YGE15,0,SEX_T,-33.063065082086084,3.7534182171302577,-0.27862972567006045,1.1811008662720973e-05,7.387180411619033
37,POP_XWAP_SEX_AGE_NB,AGE_YTHADULT_YGE15,0,SEX_M,-29.681180256749773,3.5477125733064634,-0.24799339097228817,0.00010331803150590183,7.5157020081269605
38,POP_XWAP_SEX_AGE_NB,AGE_YTHADULT_YGE15,0,SEX_F,-35.72841030664148,3.9015711405255935,-0.3038511481863714,1.6141760858816252e-06,7.261551058331623
39,POP_XWAP_SEX_AGE_NB,AGE_YTHADULT_Y15-64,0,SEX_T,-21.306122947320596,2.8874294012508273,-0.1849457434237297,0.0040396058400377155,7.338614969434511
40,POP_XWAP_SEX_AGE_NB,AGE_YTHADULT_Y15-64,0,SEX_M,-15.461392173806168,2.4771464719211433,-0.13052925025231552,0.0433580390801574,7.612383581316187
41,POP_XWAP_SEX_AGE_NB,AGE_YTHADULT_Y15-64,0,SEX_F,-25.904757992002416,3.1965977880238983,-0.23219552572715924,0.0002855272417452196,7.033999724733098
42,POP_XWAP_SEX_AGE_NB,AGE_YTHADULT_Y15-24,0,SEX_T,-23.03415219264087,3.1301120470610657,-0.20307215420042105,0.001563815443252441,7.1992742186934455
43,POP_XWAP_SEX_AGE_NB,AGE_YTHADULT_Y15-24,0,SEX_M,-25.232134821757015,3.320970374594494,-0.234570643779549,0.00024611882838734914,6.778012859313371
44,POP_XWAP_SEX_AGE_NB,AGE_YTHADULT_Y15-24,0,SEX_F,-19.618701451029782,2.8483047219004316,-0.16505899477160788,0.010427372862453176,7.598789916114166
45,POP_XWAP_SEX_AGE_NB,AGE_YTHADULT_YGE25,0,SEX_T,-33.040418859205424,3.7214089989212837,-0.28550391440738226,6.996289222923432e-06,7.189217575852242
46,POP_XWAP_SEX_AGE_NB,AGE_YTHADULT_YGE25,0,SEX_M,-28.7478497765437,3.4539792327601315,-0.24377944872649482,0.00013639989354497723,7.413370811446217
47,POP_XWAP_SEX_AGE_NB,AGE_YTHADULT_YGE25,0,SEX_F,-36.24292519741448,3.9033676008430023,-0.3190560431981096,4.4277799238105034e-07,6.9783877675499575
48,EAP_TEAP_SEX_AGE_NB,AGE_10YRBANDS_TOTAL,0,SEX_T,-21.8245853589203,2.9073793878150296,-0.39107631525270814,3.4132937221675717e-10,3.329299915754856
49,EAP_TEAP_SEX_AGE_NB,AGE_10YRBANDS_TOTAL,0,SEX_M,-20.57767006413291,2.859822172422211,-0.31119411504304056,8.720968853505845e-07,4.073411317718459
50,EAP_TEAP_SEX_AGE_NB,AGE_10YRBANDS_TOTAL,0,SEX_F,-20.85911078634538,2.7882895757962505,-0.4494473780445649,2.464856663070896e-13,2.687380150806551
51,EAP_TEAP_SEX_AGE_NB,AGE_10YRBANDS_Y15-24,0,SEX_T,-13.95090563336767,2.603233938170452,-0.4573663508384235,8.266432927838019e-14,1.7582775960894717
52,EAP_TEAP_SEX_AGE_NB,AGE_10YRBANDS_Y15-24,0,SEX_M,-12.756642393868752,2.487249901580957,-0.43072029391068795,2.9252250250638226e-12,1.732577969525738
53,EAP_TEAP_SEX_AGE_NB,AGE_10YRBANDS_Y15-24,0,SEX_F,-15.021162456001926,2.710138118130497,-0.4824557186387531,2.1406403573138067e-15,1.7677556255853988
54,EAP_TEAP_SEX_AGE_NB,AGE_10YRBANDS_Y25-34,0,SEX_T,-12.078152518137292,2.2357606627843083,-0.23450986500184043,0.0002470606805937964,3.2453982354731084
55,EAP_TEAP_SEX_AGE_NB,AGE_10YRBANDS_Y25-34,0,SEX_M,-4.636885543129503,1.6866012309545457,-0.08388726783930926,0.1952943812174634,3.5703300430939304
56,EAP_TEAP_SEX_AGE_NB,AGE_10YRBANDS_Y25-34,0,SEX_F,-16.790381852919964,2.5563030744054074,-0.3685585038584368,3.897908357821459e-09,2.7451362297192845
57,EAP_TEAP_SEX_AGE_NB,AGE_10YRBANDS_Y35-44,0,SEX_T,-16.323221703957,2.503017237006767,-0.46934176508461706,1.5000636186126522e-14,1.9906598822983759
58,EAP_TEAP_SEX_AGE_NB,AGE_10YRBANDS_Y35-44,0,SEX_M,-16.854714901218575,2.562142131668394,-0.4295668816931306,3.3899970268445063e-12,2.2967130932648927
59,EAP_TEAP_SEX_AGE_NB,AGE_10YRBANDS_Y35-44,0,SEX_F,-15.324951364851586,2.4091914999126707,-0.5020339138520322,9.974899749486528e-17,1.7112652161510116
60,EAP_TEAP_SEX_AGE_NB,AGE_10YRBANDS_Y45-54,0,SEX_T,-1.7870781379792544,1.4556883787752113,-0.026203442792327853,0.686292146825541,4.419239703933563
61,EAP_TEAP_SEX_AGE_NB,AGE_10YRBANDS_Y45-54,0,SEX_M,32.80148009746983,-0.9773676659250079,0.3629731683498339,6.932242520150179e-09,5.458244121115969
62,EAP_TEAP_SEX_AGE_NB,AGE_10YRBANDS_Y45-54,0,SEX_F,-12.275007195431053,2.1597550334278512,-0.25434212472325834,6.736174105410642e-05,3.0254695765423523
63,EAP_TEAP_SEX_AGE_NB,AGE_10YRBANDS_Y55-64,0,SEX_T,-41.80622460427116,3.983366234897015,-0.6374411491883815,9.076352402589473e-29,3.2755518726510138
64,EAP_TEAP_SEX_AGE_NB,AGE_10YRBANDS_Y55-64,0,SEX_M,-100.51499838953681,8.440920449618613,-0.6609835040311839,1.6235085725674202e-31,7.396816510171675
65,EAP_TEAP_SEX_AGE_NB,AGE_10YRBANDS_Y55-64,0,SEX_F,-21.560144310000616,2.519194011135558,-0.6070859487121332,1.4687939711877966e-25,1.8292848429280044
66,EAP_TEAP_SEX_AGE_NB,AGE_10YRBANDS_YGE65,0,SEX_T,-14.999784094688115,1.9480351485673193,-0.39430117844092916,2.3714914113684255e-10,2.2660793639425627
67,EAP_TEAP_SEX_AGE_NB,AGE_10YRBANDS_YGE65,0,SEX_M,-18.753444381348224,2.261368162288503,-0.4982213636002698,1.8405358671420355e-16,2.115506170700817
68,EAP_TEAP_SEX_AGE_NB,AGE_10YRBANDS_YGE65,0,SEX_F,-10.14317014325413,1.6381859771851655,-0.28985166636457754,4.987747895321129e-06,2.1709701452065064
69,EAP_TEAP_SEX_AGE_NB,AGE_AGGREGATE_TOTAL,0,SEX_T,-21.8245853589203,2.9073793878150296,-0.39107631525270814,3.4132937221675717e-10,3.329299915754856
70,EAP_TEAP_SEX_AGE_NB,AGE_AGGREGATE_TOTAL,0,SEX_M,-20.57767006413291,2.859822172422211,-0.31119411504304056,8.720968853505845e-07,4.073411317718459
71,EAP_TEAP_SEX_AGE_NB,AGE_AGGREGATE_TOTAL,0,SEX_F,-20.85911078634538,2.7882895757962505,-0.4494473780445649,2.464856663070896e-13,2.687380150806551
72,EAP_TEAP_SEX_AGE_NB,AGE_AGGREGATE_Y15-24,0,SEX_T,-13.95090563336767,2.603233938170452,-0.4573663508384235,8.266432927838019e-14,1.7582775960894717
73,EAP_TEAP_SEX_AGE_NB,AGE_AGGREGATE_Y15-24,0,SEX_M,-12.756642393868752,2.487249901580957,-0.43072029391068795,2.9252250250638226e-12,1.732577969525738
74,EAP_TEAP_SEX_AGE_NB,AGE_AGGREGATE_Y15-24,0,SEX_F,-15.021162512627326,2.7101381239426408,-0.482455722929885,2.1406389641734984e-15,1.7677556117562343
75,EAP_TEAP_SEX_AGE_NB,AGE_AGGREGATE_Y25-54,0,SEX_T,-14.98875221789498,2.4074538487519854,-0.30817890632907846,1.1252192075153746e-06,2.99919403004894
76,EAP_TEAP_SEX_AGE_NB,AGE_AGGREGATE_Y25-54,0,SEX_M,-10.535703157936792,2.103339610408102,-0.1824820291243023,0.0045669266606859936,3.679602240737005
77,EAP_TEAP_SEX_AGE_NB,AGE_AGGREGATE_Y25-54,0,SEX_F,-16.215486599758616,2.4682799946317457,-0.40240794307009764,9.329109755573271e-11,2.391192567442811
78,EAP_TEAP_SEX_AGE_NB,AGE_AGGREGATE_Y55-64,0,SEX_T,-41.80622460427116,3.983366234897015,-0.6374411491883815,9.076352402589473e-29,3.2755518726510138
79,EAP_TEAP_SEX_AGE_NB,AGE_AGGREGATE_Y55-64,0,SEX_M,-100.51499838953681,8.440920449618613,-0.6609835040311839,1.6235085725674202e-31,7.396816510171675
80,EAP_TEAP_SEX_AGE_NB,AGE_AGGREGATE_Y55-64,0,SEX_F,-21.560144310000616,2.519194011135558,-0.6070859487121332,1.4687939711877966e-25,1.8292848429280044
81,EAP_TEAP_SEX_AGE_NB,AGE_AGGREGATE_YGE65,0,SEX_T,-14.999784094688115,1.9480351485673193,-0.39430117844092916,2.3714914113684255e-10,2.2660793639425627
82,EAP_TEAP_SEX_AGE_NB,AGE_AGGREGATE_YGE65,0,SEX_M,-18.753444381348224,2.261368162288503,-0.4982213636002698,1.8405358671420355e-16,2.115506170700817
83,EAP_TEAP_SEX_AGE_NB,AGE_AGGREGATE_YGE65,0,SEX_F,-10.14317014325413,1.6381859771851655,-0.28985166636457754,4.987747895321129e-06,2.1709701452065064
84,EAP_TEAP_SEX_AGE_NB,AGE_YTHADULT_YGE15,0,SEX_T,-21.824585324571686,2.907379385275414,-0.39107631489107936,3.4132938608005577e-10,3.3292999141495043
85,EAP_TEAP_SEX_AGE_NB,AGE_YTHADULT_YGE15,0,SEX_M,-20.57767004771133,2.859822171188436,-0.3111941153894593,8.720968596757921e-07,4.073411309447056
86,EAP_TEAP_SEX_AGE_NB,AGE_YTHADULT_YGE15,0,SEX_F,-20.85911078634538,2.7882895757962505,-0.4494473780445649,2.464856663070896e-13,2.687380150806551
87,EAP_TEAP_SEX_AGE_NB,AGE_YTHADULT_Y15-64,0,SEX_T,-20.679025124852338,2.8510579020532987,-0.3890687567328335,4.273335123613245e-10,3.1737540244926223
88,EAP_TEAP_SEX_AGE_NB,AGE_YTHADULT_Y15-64,0,SEX_M,-19.0642023359145,2.7675889960661024,-0.29898512661825766,2.4053341211860377e-06,3.944085138985923
89,EAP_TEAP_SEX_AGE_NB,AGE_YTHADULT_Y15-64,0,SEX_F,-19.86810592819072,2.749621544582422,-0.4535263668558086,1.4090505630653202e-13,2.5308214737240147
90,EAP_TEAP_SEX_AGE_NB,AGE_YTHADULT_Y15-24,0,SEX_T,-13.95090563336767,2.603233938170452,-0.4573663508384235,8.266432927838019e-14,1.7582775960894717
91,EAP_TEAP_SEX_AGE_NB,AGE_YTHADULT_Y15-24,0,SEX_M,-12.756642393868752,2.487249901580957,-0.43072029391068795,2.9252250250638226e-12,1.732577969525738
92,EAP_TEAP_SEX_AGE_NB,AGE_YTHADULT_Y15-24,0,SEX_F,-15.021162512627326,2.7101381239426408,-0.482455722929885,2.1406389641734984e-15,1.7677556117562343
93,EAP_TEAP_SEX_AGE_NB,AGE_YTHADULT_YGE25,0,SEX_T,-20.028718332405017,2.714123944111156,-0.34994472826677614,2.5454111544722895e-08,3.4753484982723166
94,EAP_TEAP_SEX_AGE_NB,AGE_YTHADULT_YGE25,0,SEX_M,-17.48755745317495,2.5843383359475753,-0.24528229781873814,0.00012360393535719606,4.480233461420668
95,EAP_TEAP_SEX_AGE_NB,AGE_YTHADULT_YGE25,0,SEX_F,-19.275060290123363,2.603940538985133,-0.42247418243424867,8.292947607949687e-12,2.6804949331129673
96,EAP_TEA1_SEX_AGE_NB,AGE_AGGREGATE_TOTAL,0,SEX_T,-22.306144168707196,2.9417173310017164,-0.39573928251511015,2.013456732779641e-10,3.355376017465104
97,EAP_TEA1_SEX_AGE_NB,AGE_AGGREGATE_TOTAL,0,SEX_M,-21.48670850461766,2.9266090754169216,-0.3185221930404152,4.639199008934746e-07,4.144873656709942
