ref_area,indicator,source,sex,classif1,classif2,time,obs_value,note_source
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_M,AGE_5YRBANDS_Y30-34,,1990,195997.881,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_M,AGE_5YRBANDS_Y35-39,,1990,177716.139,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_M,AGE_5YRBANDS_Y40-44,,1990,141505.432,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_M,AGE_5YRBANDS_Y45-49,,1990,114890.486,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_M,AGE_5YRBANDS_Y50-54,,1990,107178.362,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_M,AGE_5YRBANDS_Y55-59,,1990,91873.924,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_M,AGE_5YRBANDS_Y60-64,,1990,77310.202,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_M,AGE_5YRBANDS_YGE65,,1990,139535.368,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_F,AGE_5YRBANDS_TOTAL,,1990,2645541.179,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_F,AGE_5YRBANDS_Y00-04,,1990,312818.182,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_F,AGE_5YRBANDS_Y05-09,,1990,280504.03,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_F,AGE_5YRBANDS_Y10-14,,1990,258132.392,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_F,AGE_5YRBANDS_Y15-19,,1990,253683.321,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_F,AGE_5YRBANDS_Y20-24,,1990,240418.507,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_F,AGE_5YRBANDS_Y25-29,,1990,215089.621,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_F,AGE_5YRBANDS_Y30-34,,1990,189468.574,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_F,AGE_5YRBANDS_Y35-39,,1990,172308.596,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_F,AGE_5YRBANDS_Y40-44,,1990,138959.732,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_F,AGE_5YRBANDS_Y45-49,,1990,112955.194,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_F,AGE_5YRBANDS_Y50-54,,1990,106750.519,R1:2474
