,indicator,classif1,classif2,sex,slope,intercept,r_value,p_value,std_err
0,POP_XWAP_SEX_AGE_NB,0,AGE_10YRBANDS_TOTAL,SEX_T,-7.658713865499974e-05,2.6817341056478554,-0.4889181773041202,7.950005584951851e-16,8.857513342837582e-06
1,POP_XWAP_SEX_AGE_NB,0,AGE_10YRBANDS_TOTAL,SEX_M,-0.00015923178257704006,2.7117995112539983,-0.5007667444120912,1.2237666490441467e-16,1.7840792865821834e-05
2,POP_XWAP_SEX_AGE_NB,0,AGE_10YRBANDS_TOTAL,SEX_F,-0.00014731395396011554,2.6516621131971245,-0.47727611248804347,4.664886660590662e-15,1.7581370266050025e-05
3,POP_XWAP_SEX_AGE_NB,0,AGE_10YRBANDS_Y15-24,SEX_T,-0.0008014725589311281,3.6991366039716107,-0.6265320735851289,1.418705463936803e-27,6.462712576018652e-05
4,POP_XWAP_SEX_AGE_NB,0,AGE_10YRBANDS_Y15-24,SEX_M,-0.0015160554663525081,3.614143157365005,-0.6271663885248135,1.212719576499544e-27,0.00012204425706734617
5,POP_XWAP_SEX_AGE_NB,0,AGE_10YRBANDS_Y15-24,SEX_F,-0.0016983789769934078,3.79153837141218,-0.6254478220801973,1.8534875271614267e-27,0.00013734021473787615
6,POP_XWAP_SEX_AGE_NB,0,AGE_10YRBANDS_Y25-34,SEX_T,-0.00025130357133943315,2.127167262807871,-0.3125577284864704,7.764437018576395e-07,4.95059345855708e-05
7,POP_XWAP_SEX_AGE_NB,0,AGE_10YRBANDS_Y25-34,SEX_M,-0.0005679436198575664,2.2271251696183136,-0.3508926984682396,2.320124032744326e-08,9.82451431200228e-05
8,POP_XWAP_SEX_AGE_NB,0,AGE_10YRBANDS_Y25-34,SEX_F,-0.00043687152471105675,2.025803582734496,-0.27408056938496095,1.657646307565922e-05,9.936413788561215e-05
9,POP_XWAP_SEX_AGE_NB,0,AGE_10YRBANDS_Y35-44,SEX_T,-0.0010106747564202878,4.474702440338792,-0.482733723847432,2.0522214024768392e-15,0.00011885130792620841
10,POP_XWAP_SEX_AGE_NB,0,AGE_10YRBANDS_Y35-44,SEX_M,-0.001961991065175901,4.354097512727854,-0.4713502038026863,1.1192858725827854e-14,0.0002379616156890645
11,POP_XWAP_SEX_AGE_NB,0,AGE_10YRBANDS_Y35-44,SEX_F,-0.002079939546935512,4.5958158876384205,-0.4940097413423003,3.5892028049032993e-16,0.00023728731034724091
12,POP_XWAP_SEX_AGE_NB,0,AGE_10YRBANDS_Y45-54,SEX_T,-0.000827679366128397,3.7629607958537594,-0.6107969845175493,6.210580067059531e-26,6.954809966773804e-05
13,POP_XWAP_SEX_AGE_NB,0,AGE_10YRBANDS_Y45-54,SEX_M,-0.0018845183495961484,4.06708257994449,-0.6286219605656329,8.449339705287649e-28,0.00015112649013304978
14,POP_XWAP_SEX_AGE_NB,0,AGE_10YRBANDS_Y45-54,SEX_F,-0.001471229647873155,3.5178620743240963,-0.5955230054357096,1.999374910105875e-24,0.0001286446987456118
15,POP_XWAP_SEX_AGE_NB,0,AGE_10YRBANDS_Y55-64,SEX_T,-0.0004600301432891252,2.4404014606782845,-0.6061343620524317,1.8282276563240237e-25,3.912856216496268e-05
16,POP_XWAP_SEX_AGE_NB,0,AGE_10YRBANDS_Y55-64,SEX_M,-0.0010321664844811223,2.566455450314717,-0.6230820447266899,3.309270712048006e-27,8.398653961083344e-05
17,POP_XWAP_SEX_AGE_NB,0,AGE_10YRBANDS_Y55-64,SEX_F,-0.0008278747109176004,2.336565450876896,-0.5914254638968517,4.918674133535259e-24,7.316525965833523e-05
18,POP_XWAP_SEX_AGE_NB,0,AGE_10YRBANDS_YGE65,SEX_T,-0.0002037218775706133,1.9534435101527574,-0.39417779644864837,2.404937958656745e-10,3.078851258646702e-05
